date,traffic,page_name
2018-12-26,607.0,Back to the Future (Japanese Wikipedia)
2018-12-27,517.0,Back to the Future (Japanese Wikipedia)
2018-12-28,447.0,Back to the Future (Japanese Wikipedia)
2018-12-29,463.0,Back to the Future (Japanese Wikipedia)
2018-12-30,394.0,Back to the Future (Japanese Wikipedia)
2018-12-31,663.0,Back to the Future (Japanese Wikipedia)
2019-01-01,436.0,Back to the Future (Japanese Wikipedia)
2019-01-02,332.0,Back to the Future (Japanese Wikipedia)
2019-01-03,367.0,Back to the Future (Japanese Wikipedia)
2019-01-04,417.0,Back to the Future (Japanese Wikipedia)
2019-01-05,401.0,Back to the Future (Japanese Wikipedia)
2019-01-06,398.0,Back to the Future (Japanese Wikipedia)
2019-01-07,443.0,Back to the Future (Japanese Wikipedia)
2019-01-08,389.0,Back to the Future (Japanese Wikipedia)
2019-01-09,371.0,Back to the Future (Japanese Wikipedia)
2019-01-10,354.0,Back to the Future (Japanese Wikipedia)
2019-01-11,337.0,Back to the Future (Japanese Wikipedia)
2019-01-12,375.0,Back to the Future (Japanese Wikipedia)
2019-01-13,351.0,Back to the Future (Japanese Wikipedia)
2019-01-14,458.0,Back to the Future (Japanese Wikipedia)
2019-01-15,395.0,Back to the Future (Japanese Wikipedia)
2019-01-16,383.0,Back to the Future (Japanese Wikipedia)
2019-01-17,353.0,Back to the Future (Japanese Wikipedia)
2019-01-18,347.0,Back to the Future (Japanese Wikipedia)
2019-01-19,332.0,Back to the Future (Japanese Wikipedia)
2019-01-20,349.0,Back to the Future (Japanese Wikipedia)
2019-01-21,391.0,Back to the Future (Japanese Wikipedia)
2019-01-22,368.0,Back to the Future (Japanese Wikipedia)
2019-01-23,392.0,Back to the Future (Japanese Wikipedia)
2019-01-24,358.0,Back to the Future (Japanese Wikipedia)
2019-01-25,379.0,Back to the Future (Japanese Wikipedia)
2019-01-26,334.0,Back to the Future (Japanese Wikipedia)
2019-01-27,376.0,Back to the Future (Japanese Wikipedia)
2019-01-28,328.0,Back to the Future (Japanese Wikipedia)
2019-01-29,377.0,Back to the Future (Japanese Wikipedia)
2019-01-30,324.0,Back to the Future (Japanese Wikipedia)
2019-01-31,337.0,Back to the Future (Japanese Wikipedia)
2019-02-01,360.0,Back to the Future (Japanese Wikipedia)
2019-02-02,330.0,Back to the Future (Japanese Wikipedia)
2019-02-03,323.0,Back to the Future (Japanese Wikipedia)
2019-02-04,347.0,Back to the Future (Japanese Wikipedia)
2019-02-05,379.0,Back to the Future (Japanese Wikipedia)
2019-02-06,361.0,Back to the Future (Japanese Wikipedia)
